username,password,condition,used
WhaleFrost,Apple7777,C,
AppleZebra,Umbrella2400,C,
QuartzQuartz,Violet9242,C,
OrangeDelta,Monkey2250,C,
AppleUmbrella,Quartz3084,C,
TigerSunny,Baker5949,C,
LemonBaker,Orange5465,C,
WhaleViolet,Lemon4602,C,
WhaleUmbrella,Rocket6731,C,
HappyJolly,Happy9558,C,
XenonHappy,Frost8387,C,
SunnyKitten,Lemon7534,C,
IslandKitten,Noodle1315,C,
WhaleCandy,Yellow5613,C,
FrostXenon,Yellow6194,C,
JollyEagle,Zebra8064,C,
SunnyApple,Apple2750,C,
JollyBaker,Grape8078,C,
XenonWhale,Whale1961,C,
MonkeyPanda,Xenon3532,C,
IslandFrost,Candy7235,C,
XenonNoodle,Frost4561,C,
GrapeIsland,Jolly4967,C,
KittenRocket,Yellow6767,C,
KittenJolly,Umbrella5725,C,
CandyEagle,Tiger5732,C,
CandyHappy,Whale7582,C,
YellowUmbrella,Island9889,C,
ZebraJolly,Jolly9514,C,
VioletApple,Lemon7288,C,
KittenViolet,Happy9262,C,
UmbrellaRocket,Tiger8674,C,
MonkeyCandy,Grape1880,C,
TigerZebra,Candy4679,C,
